Index,Rank,Previous Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE,staff,Column1,Column2,Column3,Total Students,International Students,Total Faculty Staff,Domestic Staff %,Int'l Staff %
893,851-900,951-1000,Universiti Pendidikan Sultan Idris (UPSI),Malaysia,Asia,M,FO,VH,Public,17.0,701+,18.5,696,39.1,519,5.5,801+,45.3,466,63.4,318,56.9,359,23.0,801+,5.2,801+,42.5,801+,-,,,,,"8,142","1,570",774,87%,13%
894,851-900,761-770,"University of Colorado, Denver",United States of America,Americas,L,FC,HI,Public,10.5,701+,11.7,701+,100.0,4,5.0,801+,4.3,801+,20.6,719,26.8,659,39.8,801+,10.5,801+,39.7,801+,-,,,,,"15,786",,"5,319",97%,3%
895,851-900,851-900,University of Dubai,United Arab Emirates,Asia,S,SP,MD,Private not for Profit,6.0,701+,11.5,701+,12.6,801+,24.2,652,100.0,6,88.7,180,82.2,188,14.4,801+,11.2,801+,19.1,801+,-,,,,,"1,025",281,68,,100%
897,851-900,851-900,University of Ghana,Ghana,Africa,XL,FC,HI,Public,17.8,687,12.4,701+,2.1,801+,10.8,801+,8.1,801+,1.8,801+,1.6,801+,80.8,337,96.8,63,52.8,651,-,,,,,"59,743",830,"1,665",96%,4%
898,851-900,851-900,University of Santo Tomas,Philippines,Asia,XL,FC,MD,Private not for Profit,20.3,605,45.9,294,14.1,801+,1.7,801+,38.5,513,9.0,801+,7.0,801+,19.1,801+,25.5,631,40.2,801+,-,,,,,"33,154","2,138","2,192",83%,17%
899,851-900,1001-1200,University of Seoul,Republic of Korea,Asia,M,CO,VH,Public,17.6,695,15.6,701+,49.2,390,16.5,773,6.4,801+,12.0,801+,16.3,801+,38.4,801+,6.9,801+,48.5,743=,-,,,,,"8,381",605,859,95%,5%
900,851-900,801-850,University of Stavanger,Norway,Europe,M,CO,VH,,10.4,701+,11.2,701+,83.2,151,10.9,801+,,,,,,,72.2,496,12.9,801+,45.2,801+,-,,,,,"11,814",,"1,826",%,%
901,851-900,771-780,Verona University,Italy,Europe,L,FO,VH,Public,13.1,701+,5.0,701+,5.9,801+,50.0,375,6.3,801+,8.4,801+,14.1,801+,70.3,523,6.9,801+,52.7,652=,-,,,,,"21,648",Read less,958,96%,4%
903,851-900,901-950,Worcester Polytechnic Institute,United States of America,Americas,M,FO,VH,Private not for Profit,3.7,701+,15.3,701+,20.5,801+,40.7,461,36.9,522,36.6,530,27.4,647,29.4,801+,16.7,791,47.3,780=,-,,,,,"6,417",937,508,81%,19%
905,851-900,951-1000,Yarmouk University,Jordan,Asia,L,FC,HI,Public,23.4,541,32.0,448,5.3,801+,5.2,801+,7.7,801+,25.9,646,28.4,634,44.6,801+,42.3,414,45.3,801+,-,,,,,"24,826","At Yarmouk University, we believe in providing our students with
a comprehensive and challenging education that prepares them for success in a
rapidly changing world. Our strategy is built on academic excellence,
innovation, and student-centered learning principles. We are committed to
ensuring that our students have access to the best possible resources,
facilities, and faculty members who are experts in their respective fields.","1,098",94%,6%
907,901-950,,American University of Central Asia,Kyrgyzstan,Asia,S,FO,MD,Private not for Profit,12.7,701+,14.5,701+,60.9,296,2.4,801+,58.0,398,96.4,105,81.5,193,4.3,801+,6.6,801+,7.5,801+,-,,,,,"1,222",457,173,82%,18%
908,901-950,,Baku Engineering University,Azerbaijan,Asia,M,FO,MD,Public,24.9,511,37.5,373,37.1,542,1.5,801+,21.3,693,8.7,801+,12.3,801+,3.8,801+,11.7,801+,29.4,801+,-,,,,,"4,769",78,225,100%,
909,901-950,851-900,Chonnam National University,Republic of Korea,Asia,L,FC,VH,Public,12.2,701+,6.8,701+,47.3,415,24.0,654,14.6,801+,16.3,793,21.9,731,29.2,801+,6.5,801+,61.3,471=,-,,,,,"21,789","1,636","2,421",93%,7%
911,901-950,901-950,Future University in Egypt,Egypt,Africa,M,FO,VH,Private not for Profit,7.1,701+,40.5,334,47.2,416,5.3,801+,18.2,738,33.0,558,34.5,558,50.4,801+,3.3,801+,35.7,801+,-,,,,,"7,749",,834,91%,9%
912,901-950,901-950,Gazi Üniversitesi,Türkiye,Asia,XL,FC,HI,Public,23.7,533,24.4,551,9.8,801+,7.6,801+,1.2,801+,7.5,801+,13.1,801+,61.2,676,28.9,576,55.6,589=,-,,,,,"39,503","The graduates of Gazi University are given priority in
employment by the public and private sectors. Gazi University, which has taken
important roles in the growth and advancement of Turkey and in the academic and
technological development of young generations, has nationally and
internationally proved its quality in education with qualified academic staff.","2,245",100%,
914,901-950,801-850,Huazhong Agricultural University,China (Mainland),Asia,XL,CO,VH,Public,5.2,701+,2.1,701+,8.5,801+,65.6,245,5.0,801+,2.4,801+,2.0,801+,41.4,801+,5.1,801+,38.8,801+,-,,,,,"31,219",421,"1,688",97%,3%
915,901-950,901-950,Kanazawa University,Japan,Asia,M,FC,VH,Public,13.2,701+,7.1,701+,58.1,311,22.1,684,11.6,801+,10.8,801+,15.4,801+,33.9,801+,1.7,801+,53.1,644=,-,,,,,"10,363","Kanazawa University has
been selected as a Top Global University by the governmental fund to support
the universities that lead the globalization of Japanese society. Also, the
university will strive to be a world-class institution for academic research in
accordance with the Japanese government’s budget allocation to national
universities.","1,249",94%,6%
916,901-950,851-900,Kansas State University,United States of America,Americas,L,CO,VH,Public,9.1,701+,11.9,701+,16.2,801+,31.6,569,26.2,633,9.5,801+,7.3,801+,60.4,685,21.0,706,43.4,801+,-,,,,,"17,235",,"1,140",97%,3%
917,901-950,901-950,Karaganda Buketov University,Kazakhstan,Asia,L,CO,MD,Private not for Profit,17.6,698,36.7,389,60.0,301,1.2,801+,14.5,801+,18.5,754,19.8,766,5.7,801+,10.5,801+,22.3,801+,-,,,,,"13,936",828,"2,257",91%,9%
918,901-950,951-1000,Khon Kaen University,Thailand,Asia,XL,FC,HI,Public,26.6,472,22.6,585,11.7,801+,8.8,801+,6.4,801+,3.3,801+,7.6,801+,57.1,733,5.9,801+,59.9,504=,-,,,,,"32,679",877,"1,912",95%,5%
919,901-950,951-1000,King Mongkut's University of Technology Thonburi,Thailand,Asia,L,CO,VH,Public,20.8,596,15.1,701+,17.9,801+,17.7,757,11.7,801+,7.1,801+,11.5,801+,45.0,801+,3.1,801+,61.5,467=,-,,,,,"14,096",548,"1,019",93%,7%
920,901-950,801-850,London South Bank University,United Kingdom,Europe,L,FO,VH,Public,4.9,701+,6.3,701+,13.6,801+,8.5,801+,94.1,192,98.1,87,98.2,75,47.7,801+,15.2,801+,50.8,688=,-,,,,,"14,437",The awards are given in the form of a tuition fee discount to international students on acceptance of their offer and receipt of their deposit by a set deadline. Students may only accept one of the awards.,942,63%,37%
921,901-950,,Lovely Professional University (LPU),India,Asia,XL,CO,VH,Private not for Profit,20.0,615,27.3,504,17.1,801+,10.9,801+,14.0,801+,7.0,801+,11.5,801+,73.7,477,1.7,801+,49.4,719=,-,,,,,"32,429","1,780","2,226",94%,6%
922,901-950,,Macao Polytechnic University,"Macao SAR, China",Asia,M,FO,HI,,5.6,701+,10.0,701+,34.3,571,3.0,801+,100.0,40,96.4,106,81.5,194,5.6,801+,38.1,454,22.6,801+,-,,,,,"4,533","For more information, please visit www.mpu.edu.mo",406,%,%
923,901-950,901-950,Michigan Technological University,United States of America,Americas,M,CO,VH,Public,6.2,701+,10.2,701+,32.2,599,38.2,490,18.2,740,20.1,728,15.2,801+,55.2,766,4.6,801+,37.9,801+,-,,,,,"6,549",636,603,92%,8%
924,901-950,851-900,Nagasaki University,Japan,Asia,M,FC,VH,Public,9.0,701+,3.7,701+,84.3,143,12.2,801+,8.5,801+,10.8,801+,15.3,801+,48.4,801+,3.4,801+,59.6,509=,-,,,,,"8,786",,"1,311",95%,5%
925,901-950,901-950,Osaka Metropolitan University,Japan,Asia,L,FC,VH,,18.1,676,14.0,701+,57.2,321,12.3,801+,6.2,801+,5.2,801+,9.4,801+,34.1,801+,8.9,801+,47.7,765=,-,,,,,"16,018",553,"1,857",96%,4%
926,901-950,1001-1200,Panjab University,India,Asia,L,CO,VH,Public,9.4,701+,11.5,701+,10.3,801+,43.5,433,,,3.2,801+,7.5,801+,33.0,801+,39.6,441,50.9,684=,-,,,,,"15,652",249,939,%,%
927,901-950,901-950,Princess Sumaya University for Technology,Jordan,Asia,S,SP,HI,Private not for Profit,11.0,701+,36.8,385,14.3,801+,12.1,801+,60.1,390,57.2,362,54.4,377,8.8,801+,6.3,801+,31.3,801+,-,,,,,"2,623",582,190,79%,21%
928,901-950,951-1000,Saveetha Institute of Medical And Technical Sciences (SIMATS),India,Asia,L,FO,VH,Private not for Profit,8.9,701+,2.9,701+,26.2,713,20.3,708,84.0,263,10.7,801+,15.4,801+,83.0,293,1.7,801+,48.2,751=,-,,,,,"12,468",,"1,053",66%,34%
929,901-950,,Taif University,Saudi Arabia,Asia,XL,FC,VH,Public,7.0,701+,2.7,701+,9.2,801+,30.2,586,100.0,44,4.7,801+,9.2,801+,80.5,343,2.9,801+,46.0,801+,-,,,,,"30,628",923,"1,536",35%,65%
930,901-950,1001-1200,Tallinn University,Estonia,Europe,M,FO,VH,Public,11.1,701+,12.4,701+,12.6,801+,9.9,801+,63.9,363,30.6,585,36.5,529,55.1,768,45.6,382,44.3,801+,-,,,,,"6,277",Read less,425,80%,20%
931,901-950,,Tashkent State Technical University,Uzbekistan,Asia,L,CO,HI,Public,30.6,399,16.2,701+,20.1,801+,2.1,801+,62.9,371,1.8,801+,6.1,801+,9.9,801+,30.7,540,33.9,801+,-,,,,,"15,288",101,"1,160",80%,20%
933,901-950,901-950,Universidad Católica del Uruguay (UCU),Uruguay,Americas,S,CO,MD,Private not for Profit,18.2,669,25.5,530,77.3,180,1.5,801+,13.2,801+,6.0,801+,10.0,801+,9.1,801+,27.4,604,22.6,801+,-,,,,,"4,080",135,660,93%,7%
935,901-950,1001-1200,Universidad de Oviedo,Spain,Europe,L,CO,VH,Public,18.2,671,8.4,701+,34.1,576,11.6,801+,5.8,801+,6.0,801+,11.4,801+,74.0,468,11.9,801+,63.7,429=,-,,,,,"16,160",,"2,312",96%,4%
936,901-950,851-900,Universidad de Valladolid,Spain,Europe,L,CO,VH,,16.1,701+,6.4,701+,41.2,491,7.1,801+,9.6,801+,7.7,801+,13.3,801+,84.9,257,20.3,721,59.2,516=,-,,,,,"21,114",919,"2,449",94%,6%
940,901-950,851-900,Université de Sherbrooke,Canada,Americas,L,FC,HI,Public,8.2,701+,4.4,701+,24.2,749,24.2,651,62.6,372,13.9,801+,10.5,801+,55.0,771,31.8,530,48.5,743=,-,,,,,"14,373",Read less,"1,168",77%,23%
941,901-950,851-900,University at Albany SUNY,United States of America,Americas,L,CO,VH,Public,10.1,701+,9.7,701+,7.3,801+,44.1,427,5.3,801+,10.1,801+,7.8,801+,63.2,647,12.8,801+,47.4,776=,-,,,,,"14,726","1,096",763,97%,3%
943,901-950,801-850,University of Alaska Fairbanks,United States of America,Americas,S,CO,VH,Public,3.4,701+,3.5,701+,99.7,33,19.9,713,6.3,801+,5.5,801+,4.3,801+,40.4,801+,5.9,801+,37.9,801+,-,,,,,"3,977",144,777,96%,4%
945,901-950,901-950,University of Maribor,Slovenia,Europe,L,FC,HI,Public,10.8,701+,15.6,701+,36.4,551,12.7,801+,2.3,801+,27.3,623,28.3,635,67.4,580,41.3,422,49.9,705,-,,,,,"12,690","1,355","1,199",99%,1%
946,901-950,1001-1200,University of North Texas,United States of America,Americas,XL,FC,HI,Public,10.1,701+,9.7,701+,3.2,801+,30.5,583,6.3,801+,51.5,399,38.4,513,69.0,546,29.4,560,40.6,801+,-,,,,,"37,370","6,483","1,434",97%,3%
947,901-950,901-950,University of Peshawar,Pakistan,Asia,L,FO,VH,Public,9.4,701+,11.9,701+,87.2,119,12.3,801+,,,2.0,801+,1.7,801+,49.0,801+,19.2,742,25.8,801+,-,,,,,"6,063",121,606,%,%
949,901-950,901-950,University of Salford,United Kingdom,Europe,L,CO,HI,Public,10.8,701+,7.9,701+,9.1,801+,12.0,801+,55.6,408,88.2,182,89.2,153,61.6,670,13.8,801+,43.4,801+,-,,,,,"21,148","5,665","1,171",82%,18%
950,901-950,851-900,University of South Africa,South Africa,Africa,XL,CO,VH,Public,13.8,701+,13.6,701+,1.2,801+,11.7,801+,,,13.3,801+,10.1,801+,92.5,138,96.0,66,43.3,801+,-,,,,,"228,220","18,653","2,046",%,%
951,901-950,851-900,Virginia Commonwealth University,United States of America,Americas,L,FC,VH,Public,9.5,701+,9.9,701+,42.8,464,20.0,712,12.6,801+,6.0,801+,11.5,801+,68.8,550,18.3,753,48.4,746=,-,,,,,"26,392","1,022","2,762",93%,7%
952,901-950,951-1000,Yeungnam University,Republic of Korea,Asia,L,FC,VH,Private for Profit,5.1,701+,4.7,701+,18.9,801+,47.5,395,38.6,511,17.8,763,23.3,716,46.7,801+,4.9,801+,33.5,801+,-,,,,,"20,980","1,604","1,521",83%,17%
953,951-1000,851-900,Abylkas Saginov Karaganda Technical University,Kazakhstan,Asia,M,FO,HI,Public,10.3,701+,16.9,701+,90.3,102,1.3,801+,15.5,794,25.6,652,26.4,665,3.1,801+,7.8,801+,29.7,801+,-,,,,,"5,615",729,963,92%,8%
954,951-1000,,Al Nahrain University,Iraq,Asia,M,FO,VH,Public,8.2,701+,24.1,559,98.9,45,3.7,801+,2.5,801+,1.0,801+,5.5,801+,15.6,801+,10.1,801+,29.4,801+,-,,,,,"7,395",7,993,99%,1%
955,951-1000,851-900,Al-Quds University,Palestine,Asia,M,FC,MD,Public,10.1,701+,20.5,644,19.4,801+,2.8,801+,72.3,327,90.5,163,76.3,229,15.0,801+,12.3,801+,40.1,801+,-,,,,,"10,535","3,989",803,75%,25%
956,951-1000,1001-1200,Amity University,India,Asia,L,CO,VH,Private not for Profit,10.5,701+,18.3,700,18.2,801+,14.9,801+,12.1,801+,34.9,540,36.3,531,67.5,578,4.9,801+,54.7,608=,-,,,,,"27,731","3,829","1,855",97%,3%
958,951-1000,851-900,Charles Sturt University,Australia,Oceania,L,CO,VH,Public,6.4,701+,9.4,701+,14.1,801+,13.9,801+,66.0,356,47.2,427,52.2,396,60.4,684,13.4,801+,64.9,403=,-,,,,,"13,610","2,041","1,034",77%,23%
959,951-1000,851-900,Clarkson University,United States of America,Americas,S,CO,VH,Private not for Profit,1.0,701+,4.0,701+,19.0,801+,47.3,400,42.9,478,38.0,515,42.1,493,31.0,801+,12.2,801+,26.9,801+,-,,,,,"3,665",,252,82%,18%
960,951-1000,951-1000,Clemson University,United States of America,Americas,L,CO,VH,Public,9.6,701+,15.2,701+,18.5,801+,24.8,643,16.3,773,10.6,801+,8.1,801+,75.8,420,13.5,801+,47.7,765=,-,,,,,"26,178","1,549","1,859",92%,8%
961,951-1000,851-900,CY Cergy Paris University,France,Europe,M,FO,VH,Public,5.2,701+,5.2,701+,64.9,270,7.4,801+,55.1,410,59.0,347,62.9,314,47.9,801+,1.3,801+,31.4,801+,-,,,,,"8,643","1,786","1,303",80%,20%
963,951-1000,951-1000,Ferdowsi University of Mashhad,Iran (Islamic Republic of),Asia,L,CO,VH,Public,11.1,701+,10.9,701+,5.7,801+,35.1,524,,,9.5,801+,12.4,801+,74.5,453,12.9,801+,33.3,801+,-,,,,,"25,489",,"1,070",100%,
965,951-1000,1001-1200,Guru Gobind Singh Indraprastha University,India,Asia,S,CO,VH,Public,5.8,701+,14.6,701+,12.5,801+,48.5,384,5.0,801+,9.4,801+,12.6,801+,26.9,801+,12.8,801+,43.0,801+,-,,,,,"4,303",249,441,97%,3%
967,951-1000,801-850,Immanuel Kant Baltic Federal University,Russian Federation,Europe,M,CO,VH,Public,7.7,701+,4.7,701+,86.3,124,3.1,801+,28.1,607,53.2,386,51.0,407,34.5,801+,1.9,801+,32.1,801+,-,,,,,"7,847","1,510","1,187",87%,13%
969,951-1000,791-800,Ivane Javakhishvili Tbilisi State University,Georgia,Asia,L,FC,MD,Public,11.9,701+,1.4,701+,83.5,150,1.4,801+,1.9,801+,7.5,801+,12.2,801+,24.7,801+,95.2,75,18.2,801+,-,,,,,"22,076",857,"3,094",99%,1%
970,951-1000,,Khazar University,Azerbaijan,Asia,M,CO,MD,Private not for Profit,7.8,701+,15.1,701+,60.6,297,3.3,801+,82.3,277,37.1,525,35.8,538,7.6,801+,11.9,801+,27.5,801+,-,,,,,"2,385",363,251,74%,26%
971,951-1000,951-1000,Kumamoto University,Japan,Asia,M,FC,VH,Public,9.2,701+,4.4,701+,67.5,249,21.4,692,8.2,801+,6.9,801+,11.4,801+,33.9,801+,3.4,801+,50.4,696=,-,,,,,"9,646",403,"1,163",94%,6%
972,951-1000,901-950,Kyrgyz-Turkish Manas University,Kyrgyzstan,Asia,S,CO,HI,Public,19.2,642,23.0,579,14.5,801+,3.0,801+,95.3,175,28.2,613,26.6,663,8.2,801+,7.9,801+,33.1,801+,-,,,,,"4,508",600,302,64%,36%
974,951-1000,711-720,Nanjing Agricultural University,China (Mainland),Asia,L,CO,VH,Public,6.1,701+,2.3,701+,17.8,801+,53.0,352,,,2.2,801+,1.9,801+,54.8,772,1.2,801+,39.1,801+,-,,,,,"25,076",288,"1,473",%,%
975,951-1000,1001-1200,Nanjing Normal University,China (Mainland),Asia,XL,SP,VH,Public,6.4,701+,4.6,701+,20.7,801+,42.8,443,,,7.8,801+,6.0,801+,57.2,730,8.2,801+,40.2,801+,-,,,,,"30,053",Read less,"2,300",98%,2%
976,951-1000,1001-1200,National Chung Cheng University,Taiwan,Asia,M,CO,VH,Public,18.9,650,34.8,412,16.6,801+,9.5,801+,7.9,801+,6.3,801+,10.5,801+,28.9,801+,5.1,801+,51.6,669=,-,,,,,"10,440",,721,96%,4%
977,951-1000,901-950,North South University,Bangladesh,Asia,L,FO,HI,Private not for Profit,16.9,701+,54.1,226,7.5,801+,6.6,801+,10.5,801+,1.6,801+,6.0,801+,30.2,801+,11.7,801+,37.3,801+,-,,,,,"14,796",53,835,94%,6%
978,951-1000,851-900,North-West University,South Africa,Africa,XL,CO,VH,Public,8.4,701+,14.9,701+,7.0,801+,24.9,641,9.2,801+,3.1,801+,7.7,801+,94.6,89,24.8,643,60.4,499=,-,,,,,"35,930",785,"1,785",95%,5%
979,951-1000,851-900,Okayama University,Japan,Asia,L,FC,VH,Public,11.5,701+,5.1,701+,67.5,248,14.7,801+,8.3,801+,11.6,801+,17.0,801+,41.7,801+,3.4,801+,58.3,539=,-,,,,,"13,137",,"1,663",95%,5%
980,951-1000,1001-1200,Rochester Institute of Technology (RIT),United States of America,Americas,L,CO,VH,Private not for Profit,10.0,701+,28.4,491,24.6,741,11.5,801+,8.7,801+,26.9,631,33.0,576,41.2,801+,13.7,801+,55.1,602=,-,,,,,"15,224",,"1,245",96%,4%
981,951-1000,951-1000,Saint Louis University,United States of America,Americas,L,CO,VH,Private not for Profit,5.7,701+,4.2,701+,50.8,373,23.8,660,20.6,701,42.2,473,31.5,596,23.5,801+,18.5,748,35.9,801+,-,,,,,"12,738",,"1,025",91%,9%
982,951-1000,1001-1200,Sohar University,Oman,Asia,S,FO,VH,Private not for Profit,8.1,701+,10.5,701+,3.8,801+,19.9,715,100.0,27,4.6,801+,8.7,801+,23.6,801+,71.0,204,34.2,801+,-,,,,,"4,595",,145,33%,67%
983,951-1000,951-1000,Sophia University,Japan,Asia,L,CO,HI,Private not for Profit,18.7,657,27.2,505,25.9,720,2.5,801+,41.0,489,20.3,726,26.4,666,9.1,801+,21.3,702,48.7,737=,-,,,,,"12,705",,"1,087",83%,17%
986,951-1000,951-1000,Universidad Autónoma Metropolitana (UAM),Mexico,Americas,XL,FC,HI,Public,32.5,379,16.0,701+,5.3,801+,4.3,801+,11.5,801+,1.5,801+,1.4,801+,47.1,801+,6.2,801+,47.7,765=,-,,,,,"61,581",,"2,686",94%,6%
989,951-1000,951-1000,Universidad de La Sabana,Colombia,Americas,M,FC,HI,Private not for Profit,30.1,403,30.1,472,21.8,800,3.6,801+,3.7,801+,2.6,801+,6.9,801+,17.6,801+,14.4,801+,31.5,801+,-,,,,,"11,403",Read less,843,97%,3%
990,951-1000,901-950,Universidad EAFIT,Colombia,Americas,L,CO,HI,Private not for Profit,19.4,634,46.0,293,6.8,801+,4.1,801+,4.1,801+,1.9,801+,1.7,801+,10.8,801+,51.8,326,45.4,801+,-,,,,,"13,068",119,660,97%,3%
991,951-1000,,Universidad Espíritu Santo (UEES),Ecuador,Americas,S,FO,VH,Private not for Profit,6.1,701+,8.9,701+,33.7,580,11.2,801+,62.5,373,63.5,315,47.3,438,25.3,801+,13.1,801+,42.8,801+,-,,,,,"3,098",777,231,74%,26%
992,951-1000,901-950,Universidad Externado de Colombia,Colombia,Americas,L,FO,MD,Private not for Profit,15.8,701+,33.5,428,48.9,395,1.2,801+,10.7,801+,2.1,801+,1.8,801+,5.6,801+,41.2,424,23.8,801+,-,,,,,"13,781",167,"1,721",92%,8%
993,951-1000,901-950,Universidad Nacional Mayor de San Marcos,Peru,Americas,XL,FC,HI,Public,28.9,429,28.4,492,11.0,801+,1.7,801+,,,,,,,32.9,801+,53.0,321,24.3,801+,-,,,,,"32,441",Read less,"2,212",%,%
994,951-1000,951-1000,Universidad Torcuato Di Tella,Argentina,Americas,S,SP,HI,Private not for Profit,18.4,664,35.9,401,18.5,801+,3.8,801+,41.2,488,13.6,801+,10.3,801+,5.3,801+,41.5,420,18.5,801+,-,,,,,"2,924",229,213,84%,16%
995,951-1000,851-900,Universita' degli Studi di Ferrara,Italy,Europe,L,FC,HI,Public,9.3,701+,4.7,701+,3.6,801+,47.3,399,3.8,801+,6.8,801+,12.3,801+,65.5,614,7.0,801+,54.2,619=,-,,,,,"22,657",,798,98%,2%
997,951-1000,951-1000,University of Bahrain,Bahrain,Asia,L,CO,HI,Public,14.3,701+,15.1,701+,8.1,801+,5.0,801+,94.1,191,10.5,801+,14.0,801+,38.7,801+,55.5,299,28.9,801+,-,,,,,"22,403","1,908","1,283",66%,34%
999,951-1000,901-950,University of Ha'il,Saudi Arabia,Asia,L,FC,HI,Public,8.7,701+,4.3,701+,41.1,492,5.0,801+,100.0,46,5.4,801+,9.8,801+,62.3,660,2.9,801+,45.6,801+,-,,,,,"20,102",,"2,115",35%,65%
1002,951-1000,951-1000,University of the Western Cape,South Africa,Africa,L,CO,VH,Public,12.0,701+,6.4,701+,6.1,801+,23.9,656,30.3,583,5.5,801+,10.5,801+,84.4,267,28.1,592,35.7,801+,-,,,,,"18,040",800,827,86%,14%
1003,951-1000,801-850,Wuhan University of Technology,China (Mainland),Asia,XL,CO,VH,Public,7.2,701+,4.6,701+,24.1,751,41.2,457,,,4.4,801+,3.5,801+,64.2,632,10.1,801+,34.9,801+,-,,,,,"51,497","1,477","3,539",97%,3%
1004,1001-1200,,Adamson University,Philippines,Asia,M,CO,MD,Private for Profit,39.3,306,17.9,701+,7.6,801+,1.7,801+,18.1,741,2.8,801+,7.1,801+,4.8,801+,3.5,801+,10.1,801+,-,,,,,"8,633","1,016",299,98%,2%
1005,1001-1200,,Aga Khan University,Pakistan,Asia,S,FO,VH,Private not for Profit,6.4,701+,10.0,701+,100.0,2,11.4,801+,1.5,801+,2.0,801+,1.7,801+,18.2,801+,8.3,801+,22.6,801+,-,,,,,"1,322",13,672,100%,
1007,1001-1200,1201-1400,Alexandru Ioan Cuza University,Romania,Europe,L,CO,HI,Public,11.7,701+,20.6,641,7.8,801+,5.8,801+,4.6,801+,17.0,779,21.4,742,49.1,801+,23.1,668,48.7,737=,-,,,,,"22,393","2,008","1,164",97%,3%
1009,1001-1200,951-1000,Almaty Technological University,Kazakhstan,Asia,M,CO,MD,Public,5.9,701+,8.9,701+,93.9,86,1.1,801+,27.8,613,14.4,801+,17.4,801+,4.4,801+,4.2,801+,26.6,801+,-,,,,,"7,052",,"1,134",86%,14%
1010,1001-1200,1001-1200,Amrita Vishwa Vidyapeetham,India,Asia,L,FC,VH,Private not for Profit,6.9,701+,6.6,701+,39.2,518,10.7,801+,36.7,524,2.5,801+,2.1,801+,67.4,579,1.2,801+,26.8,801+,-,,,,,"19,224",,"1,696",83%,17%
1011,1001-1200,1001-1200,An-Najah National University,Palestine,Asia,L,FC,MD,Public,13.5,701+,14.5,701+,11.5,801+,4.3,801+,49.8,441,47.4,426,43.8,475,39.0,801+,11.3,801+,47.1,785=,-,,,,,"19,151","2,869","1,113",83%,17%
1013,1001-1200,951-1000,Asfendiyarov Kazakh National Medical University,Kazakhstan,Asia,M,FO,HI,Public,7.3,701+,8.8,701+,67.2,255,1.3,801+,15.8,783,76.8,244,70.3,267,6.4,801+,7.8,801+,,,-,,,,,"11,716","The University is included in TOP-200 of QS EECA Rankings. The university has 102 partner universities, medical and science partners from 36 countries. University has three university hospitals. ""Aksay"" hospital - one of the oldest in the Republic of Kazakhstan children's multidisciplinary medical and diagnostic institutions. Each year more than 5 thousand children from Kazakhstan receive help here. Professor hospital, which focuses on helping patients with diabetes and ENT disease, Clinic of Internal Medicine - which is a multidisciplinary diagnostic centre and Dentistry clinic.","1,464",92%,8%
1014,1001-1200,1001-1200,Assiut University,Egypt,Africa,XL,FC,HI,Public,16.3,701+,15.1,701+,20.7,801+,4.0,801+,21.1,697,7.2,801+,10.6,801+,66.5,596,3.0,801+,53.3,636=,-,,,,,"91,258","3,836","6,874",91%,9%
1016,1001-1200,1001-1200,Banaras Hindu University,India,Asia,L,FC,VH,Public,18.9,648,10.6,701+,14.4,801+,18.8,737,1.5,801+,3.0,801+,7.2,801+,59.3,704,15.6,801+,44.5,801+,-,,,,,"29,466",449,"1,768",100%,
1017,1001-1200,1001-1200,Baylor University,United States of America,Americas,L,CO,VH,Private not for Profit,8.7,701+,20.9,628,17.5,801+,12.8,801+,3.7,801+,6.6,801+,5.2,801+,46.9,801+,24.5,650,42.9,801+,-,,,,,"19,387",881,"1,348",98%,2%
1018,1001-1200,901-950,Beijing University of Posts and Telecommunications,China (Mainland),Asia,L,FO,VH,Public,4.3,701+,9.2,701+,19.8,801+,45.2,411,6.4,801+,2.8,801+,2.3,801+,22.1,801+,22.4,686,27.3,801+,-,,,,,"23,538",370,"1,553",96%,4%
1019,1001-1200,1001-1200,Binghamton University SUNY,United States of America,Americas,L,CO,VH,Public,10.1,701+,14.1,701+,9.3,801+,19.5,723,17.3,760,15.5,801+,21.6,739,26.2,801+,11.3,801+,44.8,801+,-,,,,,"17,218","1,605",912,92%,8%
1020,1001-1200,1001-1200,Birmingham City University,United Kingdom,Europe,XL,FO,HI,Public,8.2,701+,8.0,701+,8.7,801+,6.5,801+,54.9,412,65.5,304,68.8,278,44.5,801+,12.1,801+,37.9,801+,-,,,,,"25,576",Read less,"1,489",81%,19%
1021,1001-1200,1001-1200,Brigham Young University,United States of America,Americas,XL,CO,VH,Private not for Profit,7.7,701+,13.5,701+,6.7,801+,15.8,787,1.3,801+,5.3,801+,4.2,801+,51.9,801+,36.9,469,44.6,801+,-,,,,,"31,586","1,133","1,554",100%,
1023,1001-1200,1001-1200,Chung Yuan Christian University,Taiwan,Asia,L,CO,HI,Public,9.9,701+,9.2,701+,6.9,801+,25.2,637,5.3,801+,11.8,801+,14.9,801+,17.3,801+,28.6,585,46.7,799=,-,,,,,"15,948",,747,97%,3%
1024,1001-1200,1001-1200,Chungbuk National University,Republic of Korea,Asia,M,FC,VH,Public,6.5,701+,4.6,701+,47.9,405,19.6,717,10.7,801+,21.5,703,21.6,740,33.4,801+,1.8,801+,50.9,684=,-,,,,,"10,963",879,"1,176",92%,8%
